id,company,title,type,location,skills,description,eligibility,link
1,TechNova,Data Science Intern,Internship,Remote,"Python,SQL,Pandas,Machine Learning,Statistics","Work on data analysis and machine learning projects","CSE, IT, AI/ML students","https://example.com"
2,CloudCore,Machine Learning Intern,Internship,Hyderabad,"Python,Machine Learning,TensorFlow,SQL,Docker","Build machine learning models and data pipelines","CSE, AI/ML students","https://example.com"
3,WebWorks,Python Developer Intern,Internship,Remote,"Python,Django,SQL,REST API,Git","Develop backend applications using Python","CSE, IT students","https://example.com"
4,DataVision,Data Analyst Intern,Internship,Bangalore,"Python,SQL,Excel,Power BI,Statistics","Analyze business data and create dashboards","CSE, IT, Data Science students","https://example.com"
5,AI Labs,AI Research Intern,Internship,Remote,"Python,Machine Learning,Deep Learning,PyTorch,NumPy","Assist with artificial intelligence research projects","CSE, AI/ML students","https://example.com"
6,FinTechPro,Software Engineer Intern,Internship,Chennai,"Python,Java,SQL,Git,Data Structures","Work with the software engineering team","CSE students","https://example.com"
7,CloudWorks,Cloud Engineer Intern,Internship,Hyderabad,"Python,Linux,Docker,AWS,Git","Assist in cloud infrastructure and automation","CSE, IT students","https://example.com"
8,VisionAI,Computer Vision Intern,Internship,Remote,"Python,OpenCV,Machine Learning,Deep Learning,NumPy","Develop computer vision applications","CSE, AI/ML students","https://example.com"
9,AppTech,Full Stack Developer Intern,Internship,Bangalore,"HTML,CSS,JavaScript,React,Node.js,Git","Build and maintain web applications","CSE, IT students","https://example.com"
10,CyberSecure,Cybersecurity Intern,Internship,Remote,"Python,Linux,Networking,Cybersecurity,Git","Assist in cybersecurity monitoring and analysis","CSE, Cybersecurity students","https://example.com"
11,DataFlow,Big Data Intern,Internship,Pune,"Python,Hadoop,Spark,SQL,Kafka","Work with distributed big data processing systems","CSE, IT students","https://example.com"
12,LinguaTech,NLP Engineer Intern,Internship,Remote,"Python,NLP,SpaCy,Transformers,PyTorch","Develop natural language processing models and pipelines","CSE, AI/ML students","https://example.com"
13,MetricBase,Business Intelligence Intern,Internship,Mumbai,"SQL,Tableau,Excel,Python,Statistics","Create business intelligence reports and KPI dashboards","Any Engineering, Data Science students","https://example.com"
14,EnterpriseApps,Java Developer Intern,Internship,Pune,"Java,Spring Boot,SQL,REST API,Git","Build enterprise-grade backend microservices","CSE, IT students","https://example.com"
15,PixelCraft,Frontend Developer Intern,Internship,Remote,"JavaScript,React,HTML,CSS,Redux","Build responsive user interfaces for web applications","CSE, IT students","https://example.com"
16,ServerSide,Backend Developer Intern,Internship,Hyderabad,"Node.js,Express,MongoDB,REST API,Git","Develop scalable server-side architectures","CSE, IT students","https://example.com"
17,CoreSystems,C++ Developer Intern,Internship,Bangalore,"C++,Data Structures,Algorithms,Git","Optimize high-performance system applications","CSE students","https://example.com"
18,AppMakers,Mobile App Developer Intern,Internship,Chennai,"Flutter,Dart,Firebase,Git","Develop cross-platform mobile applications","CSE, IT students","https://example.com"
19,BuildScale,DevOps Intern,Internship,Pune,"Linux,Docker,Kubernetes,Jenkins,AWS","Automate deployment and infrastructure pipelines","CSE, IT students","https://example.com"
20,NetConnect,Network Operations Intern,Internship,Bangalore,"Networking,TCP/IP,Linux,Python","Monitor and troubleshoot enterprise networks","CSE, Electronics students","https://example.com"
21,ShieldGuard,Information Security Intern,Internship,Mumbai,"Cryptography,Ethical Hacking,Linux,Python","Conduct vulnerability assessments and security audits","CSE, Cybersecurity students","https://example.com"
22,TestPro,QA Automation Intern,Internship,Chennai,"Python,Selenium,PyTest,SQL,Git","Write and maintain automated testing scripts","CSE, IT students","https://example.com"
23,BugFree,Software Tester Intern,Internship,Pune,"Manual Testing,JIRA,SQL,Agile","Perform manual testing and track bug reports","All Engineering streams","https://example.com"
24,LoadTest,Performance Testing Intern,Internship,Bangalore,"Jmeter,Java,SQL,Performance Metrics","Analyze system load handling and bottlenecks","CSE, IT students","https://example.com"
25,InnoTech,Generative AI Intern,Internship,Remote,"Python,LangChain,OpenAI,Vector DBs,PyTorch","Build applications leveraging large language models","CSE, AI/ML students","https://example.com"
26,DataCore,Data Engineering Intern,Internship,Hyderabad,"Python,SQL,Airflow,Spark,Snowflake","Build and optimize data pipelines","CSE, IT students","https://example.com"
